itle,Type,Genre,ReleaseYear,Rating,Duration,Country,Score,Decade,ScoreColor,isSeries
Title 1,TV Show,Comedy,1955,PG,3 Seasons,Japan,2,1950,"#996600",false
Title 2,TV Show,Horror,2020,G,3 Seasons,India,4,2020,"#32CC00",false
Title 3,TV Show,Action,1966,TV-PG,140 min,United States,2,1960,"#996600",true
Title 4,Movie,Thriller,2011,PG-13,3 Seasons,Canada,1,2010,"#CC3300",false
Title 5,TV Show,Romance,1959,TV-14,172 min,India,0,1950,"#FF0000",true
Title 6,Movie,Action,2007,PG-13,3 Seasons,Japan,3,2000,"#659900",false
Title 7,Movie,Romance,1977,TV-14,68 min,United States,1,1970,"#CC3300",true
Title 8,Movie,Comedy,1971,TV-PG,104 min,Japan,0,1970,"#FF0000",true
Title 9,Movie,Drama,2000,PG-13,2 Seasons,Canada,1,2000,"#CC3300",false
Title 10,Movie,Thriller,1975,TV-MA,1 Seasons,India,3,1970,"#659900",false
Title 11,TV Show,Romance,2021,TV-14,139 min,Australia,3,2020,"#659900",true
Title 12,TV Show,Action,1986,PG-13,85 min,Germany,4,1980,"#32CC00",true
Title 13,Movie,Documentary,1997,R,129 min,Australia,3,1990,"#659900",true
Title 14,Movie,Sci-Fi,1986,TV-PG,129 min,Germany,2,1980,"#996600",true
Title 15,TV Show,Documentary,1994,PG-13,3 Seasons,Canada,5,1990,"#00FF00",false
Title 16,TV Show,Horror,1996,TV-MA,107 min,Japan,2,1990,"#996600",true
Title 17,Movie,Comedy,1969,TV-PG,1 Seasons,United Kingdom,3,1960,"#659900",false
Title 18,TV Show,Drama,1983,G,147 min,South Korea,5,1980,"#00FF00",true
Title 19,Movie,Romance,2011,G,1 Seasons,United Kingdom,0,2010,"#FF0000",false
Title 20,Movie,Romance,2023,R,1 Seasons,United Kingdom,5,2020,"#00FF00",false
Title 21,TV Show,Sci-Fi,1993,G,120 min,Australia,0,1990,"#FF0000",true
Title 22,TV Show,Drama,1968,R,2 Seasons,Germany,5,1960,"#00FF00",false
Title 23,Movie,Drama,2023,TV-PG,3 Seasons,United Kingdom,3,2020,"#659900",false
Title 24,Movie,Comedy,1965,R,115 min,United States,2,1960,"#996600",true
Title 25,TV Show,Sci-Fi,1991,TV-MA,1 Seasons,Australia,4,1990,"#32CC00",false
Title 26,TV Show,Romance,1997,R,2 Seasons,United States,0,1990,"#FF0000",false
Title 27,Movie,Drama,2004,TV-PG,164 min,Japan,0,2000,"#FF0000",true
Title 28,TV Show,Horror,1952,PG-13,175 min,United States,4,1950,"#32CC00",true
Title 29,Movie,Thriller,1969,TV-MA,68 min,India,0,1960,"#FF0000",true
Title 30,TV Show,Comedy,1955,PG,78 min,Canada,0,1950,"#FF0000",true
Title 31,Movie,Horror,1992,TV-MA,2 Seasons,Australia,1,1990,"#CC3300",false
Title 32,TV Show,Horror,1989,TV-MA,2 Seasons,United States,4,1980,"#32CC00",false
Title 33,Movie,Documentary,1975,TV-MA,3 Seasons,Japan,1,1970,"#CC3300",false
Title 34,TV Show,Thriller,1996,TV-14,1 Seasons,Canada,1,1990,"#CC3300",false
Title 35,Movie,Thriller,2019,TV-PG,2 Seasons,Canada,5,2010,"#00FF00",false
Title 36,Movie,Documentary,1999,PG-13,88 min,United States,2,1990,"#996600",true
Title 37,Movie,Comedy,1964,TV-PG,133 min,United Kingdom,4,1960,"#32CC00",true
Title 38,Movie,Action,2003,TV-MA,156 min,Australia,3,2000,"#659900",true
Title 39,TV Show,Documentary,2000,PG,3 Seasons,Japan,1,2000,"#CC3300",false
Title 40,Movie,Comedy,1989,TV-14,2 Seasons,United Kingdom,0,1980,"#FF0000",false
Title 41,Movie,Documentary,1971,PG-13,1 Seasons,Germany,1,1970,"#CC3300",false
Title 42,TV Show,Horror,1981,TV-PG,2 Seasons,Japan,3,1980,"#659900",false
Title 43,Movie,Horror,2012,TV-MA,141 min,India,5,2010,"#00FF00",true
Title 44,Movie,Comedy,1955,G,1 Seasons,Germany,2,1950,"#996600",false
Title 45,TV Show,Comedy,1959,TV-PG,76 min,United States,1,1950,"#CC3300",true
Title 46,TV Show,Sci-Fi,1961,TV-MA,2 Seasons,Australia,3,1960,"#659900",false
Title 47,TV Show,Thriller,1996,G,130 min,United States,1,1990,"#CC3300",true
Title 48,TV Show,Thriller,1967,R,67 min,Germany,4,1960,"#32CC00",true
Title 49,TV Show,Documentary,1973,PG,3 Seasons,United Kingdom,1,1970,"#CC3300",false
Title 50,TV Show,Comedy,1965,TV-PG,2 Seasons,India,5,1960,"#00FF00",false
Title 51,TV Show,Drama,1969,G,3 Seasons,Japan,3,1960,"#659900",false
Title 52,Movie,Documentary,1980,PG,140 min,Japan,0,1980,"#FF0000",true
Title 53,TV Show,Drama,1989,R,2 Seasons,India,4,1980,"#32CC00",false
Title 54,TV Show,Documentary,1964,PG,3 Seasons,Germany,1,1960,"#CC3300",false
Title 55,TV Show,Thriller,2018,TV-MA,128 min,Japan,5,2010,"#00FF00",true
Title 56,TV Show,Horror,1952,PG,97 min,South Korea,1,1950,"#CC3300",true
Title 57,Movie,Drama,2016,TV-14,2 Seasons,Germany,0,2010,"#FF0000",false
Title 58,TV Show,Horror,1965,TV-PG,1 Seasons,India,0,1960,"#FF0000",false
Title 59,Movie,Romance,2020,R,3 Seasons,Germany,4,2020,"#32CC00",false
Title 60,Movie,Documentary,2016,R,2 Seasons,South Korea,0,2010,"#FF0000",false
Title 61,TV Show,Romance,2014,TV-PG,3 Seasons,Canada,3,2010,"#659900",false
Title 62,TV Show,Thriller,2005,PG,2 Seasons,United Kingdom,4,2000,"#32CC00",false
Title 63,TV Show,Comedy,1970,PG-13,169 min,India,0,1970,"#FF0000",true
Title 64,Movie,Romance,1961,PG-13,3 Seasons,United Kingdom,3,1960,"#659900",false
Title 65,Movie,Romance,1960,TV-PG,137 min,Australia,1,1960,"#CC3300",true
Title 66,TV Show,Comedy,1968,R,3 Seasons,Japan,5,1960,"#00FF00",false
Title 67,Movie,Documentary,1952,TV-MA,3 Seasons,United Kingdom,5,1950,"#00FF00",false
Title 68,TV Show,Comedy,2001,TV-14,166 min,Japan,3,2000,"#659900",true
Title 69,TV Show,Action,2015,TV-PG,2 Seasons,Germany,0,2010,"#FF0000",false
Title 70,TV Show,Sci-Fi,1981,TV-MA,66 min,United States,1,1980,"#CC3300",true
Title 71,Movie,Horror,2018,TV-14,89 min,Germany,0,2010,"#FF0000",true
Title 72,Movie,Romance,1965,PG-13,140 min,Germany,2,1960,"#996600",true
Title 73,Movie,Thriller,2000,TV-PG,174 min,India,4,2000,"#32CC00",true
Title 74,TV Show,Sci-Fi,1954,TV-MA,175 min,United States,0,1950,"#FF0000",true
Title 75,TV Show,Horror,1967,PG-13,1 Seasons,India,2,1960,"#996600",false
Title 76,Movie,Action,1962,G,72 min,United Kingdom,1,1960,"#CC3300",true
Title 77,Movie,Comedy,1995,PG,147 min,Japan,5,1990,"#00FF00",true
Title 78,TV Show,Drama,1954,R,1 Seasons,Germany,4,1950,"#32CC00",false
Title 79,TV Show,Action,2006,PG-13,174 min,United States,2,2000,"#996600",true
Title 80,TV Show,Drama,1975,PG-13,138 min,United States,1,1970,"#CC3300",true
Title 81,TV Show,Drama,1974,TV-14,3 Seasons,Japan,5,1970,"#00FF00",false
Title 82,TV Show,Comedy,1963,R,143 min,Australia,0,1960,"#FF0000",true
Title 83,Movie,Sci-Fi,1962,R,86 min,Australia,0,1960,"#FF0000",true
Title 84,Movie,Action,1992,R,168 min,United States,4,1990,"#32CC00",true
Title 85,TV Show,Sci-Fi,1950,TV-14,3 Seasons,India,3,1950,"#659900",false
Title 86,TV Show,Drama,2002,TV-MA,2 Seasons,United States,4,2000,"#32CC00",false
Title 87,TV Show,Documentary,1988,TV-MA,108 min,Germany,3,1980,"#659900",true
Title 88,TV Show,Thriller,1961,TV-14,86 min,United States,0,1960,"#FF0000",true
Title 89,Movie,Documentary,1951,R,3 Seasons,United Kingdom,5,1950,"#00FF00",false
Title 90,TV Show,Drama,1970,PG-13,3 Seasons,United Kingdom,2,1970,"#996600",false
Title 91,Movie,Drama,1971,R,109 min,Germany,5,1970,"#00FF00",true
Title 92,TV Show,Sci-Fi,1989,TV-PG,133 min,Germany,4,1980,"#32CC00",true
Title 93,Movie,Thriller,1971,PG,3 Seasons,Japan,1,1970,"#CC3300",false
Title 94,TV Show,Thriller,1955,TV-PG,3 Seasons,United Kingdom,4,1950,"#32CC00",false
